name,mpg,cylinders,displacement,horsepower,weight,acceleration,model_year,Connector size,Battery Size,Distance Driven,Range Buffer,Driving Eff,Inverter Eff,Dispatch Time,origin
dodge monaco (sw),12,8,383,180,4955,11.5,71,32,19,666,130,333,646,48,usa
ford country squire (sw),13,8,400,170,4746,12,71,34,19,700,120,350,680,48,usa
pontiac safari (sw),13,8,400,175,5140,12,71,34,19,700,125,350,680,48,usa
amc hornet sportabout (sw),18,6,258,110,2962,13.5,71,44,13,416,60,208,396,46,usa
chevrolet vega (sw),22,4,140,72,2408,19,71,52,7,180,22,90,160,44,usa
pontiac firebird,19,6,250,100,3282,15,71,46,13,400,50,200,380,46,usa
ford mustang,18,6,250,88,3139,14.5,71,44,13,400,38,200,380,46,usa
mercury capri 2000,23,4,122,86,2220,14,71,54,7,144,36,72,124,44,usa
opel 1900,28,4,116,90,2123,14,71,64,7,132,40,66,112,44,europe
peugeot 304,30,4,79,70,2074,19.5,71,68,7,58,20,29,38,44,europe
fiat 124b,30,4,88,76,2065,14.5,71,68,7,76,26,38,56,44,europe
toyota corolla 1200,31,4,71,65,1773,19,71,70,7,42,15,21,22,44,japan
datsun 1200,35,4,72,69,1613,18,71,78,7,44,19,22,24,44,japan
volkswagen model 111,27,4,97,60,1834,19,71,62,7,94,10,47,74,44,europe
plymouth cricket,26,4,91,70,1955,20.5,71,60,7,82,20,41,62,44,usa
toyota corona hardtop,24,4,113,95,2278,15.5,72,56,7,126,45,63,106,44,japan
dodge colt hardtop,25,4,97.5,80,2126,17,72,58,7,95,30,47.5,75,44,usa
volkswagen type 3,23,4,97,54,2254,23.5,72,54,7,94,4,47,74,44,europe
chevrolet vega,20,4,140,90,2408,19.5,72,48,7,180,40,90,160,44,usa
ford pinto runabout,21,4,122,86,2226,16.5,72,50,7,144,36,72,124,44,usa
chevrolet impala,13,8,350,165,4274,12,72,34,19,600,115,300,580,48,usa
pontiac catalina,14,8,400,175,4385,12,72,36,19,700,125,350,680,48,usa
plymouth fury iii,15,8,318,150,4135,13.5,72,38,19,536,100,268,516,48,usa
ford galaxie 500,14,8,351,153,4129,13,72,36,19,602,103,301,582,48,usa
amc ambassador sst,17,8,304,150,3672,11.5,72,42,19,508,100,254,488,48,usa
mercury marquis,11,8,429,208,4633,11,72,30,19,758,158,379,738,48,usa
buick lesabre custom,13,8,350,155,4502,13.5,72,34,19,600,105,300,580,48,usa
oldsmobile delta 88 royale,12,8,350,160,4456,13.5,72,32,19,600,110,300,580,48,usa
chrysler newport royal,13,8,400,190,4422,12.5,72,34,19,700,140,350,680,48,usa
mazda rx2 coupe,19,3,70,97,2330,13.5,72,46,4,40,47,20,20,43,japan
amc matador (sw),15,8,304,150,3892,12.5,72,38,19,508,100,254,488,48,usa
chevrolet chevelle concours (sw),13,8,307,130,4098,14,72,34,19,514,80,257,494,48,usa
ford gran torino (sw),13,8,302,140,4294,16,72,34,19,504,90,252,484,48,usa
plymouth satellite custom (sw),14,8,318,150,4077,14,72,36,19,536,100,268,516,48,usa
volvo 145e (sw),18,4,121,112,2933,14.5,72,44,7,142,62,71,122,44,europe
volkswagen 411 (sw),22,4,121,76,2511,18,72,52,7,142,26,71,122,44,europe
peugeot 504 (sw),21,4,120,87,2979,19.5,72,50,7,140,37,70,120,44,europe
renault 12 (sw),26,4,96,69,2189,18,72,60,7,92,19,46,72,44,europe
ford pinto (sw),22,4,122,86,2395,16,72,52,7,144,36,72,124,44,usa
datsun 510 (sw),28,4,97,92,2288,17,72,64,7,94,42,47,74,44,japan
toyouta corona mark ii (sw),23,4,120,97,2506,14.5,72,54,7,140,47,70,120,44,japan
dodge colt (sw),28,4,98,80,2164,15,72,64,7,96,30,48,76,44,usa
toyota corolla 1600 (sw),27,4,97,88,2100,16.5,72,62,7,94,38,47,74,44,japan
buick century 350,13,8,350,175,4100,13,73,34,19,600,125,300,580,48,usa
amc matador,14,8,304,150,3672,11.5,73,36,19,508,100,254,488,48,usa
chevrolet malibu,13,8,350,145,3988,13,73,34,19,600,95,300,580,48,usa
ford gran torino,14,8,302,137,4042,14.5,73,36,19,504,87,252,484,48,usa
dodge coronet custom,15,8,318,150,3777,12.5,73,38,19,536,100,268,516,48,usa
mercury marquis brougham,12,8,429,198,4952,11.5,73,32,19,758,148,379,738,48,usa
chevrolet caprice classic,13,8,400,150,4464,12,73,34,19,700,100,350,680,48,usa
ford ltd,13,8,351,158,4363,13,73,34,19,602,108,301,582,48,usa
plymouth fury gran sedan,14,8,318,150,4237,14.5,73,36,19,536,100,268,516,48,usa
chrysler new yorker brougham,13,8,440,215,4735,11,73,34,19,780,165,390,760,48,usa
buick electra 225 custom,12,8,455,225,4951,11,73,32,19,810,175,405,790,48,usa
amc ambassador brougham,13,8,360,175,3821,11,73,34,19,620,125,310,600,48,usa
plymouth valiant,18,6,225,105,3121,16.5,73,44,13,350,55,175,330,46,usa
chevrolet nova custom,16,6,250,100,3278,18,73,40,13,400,50,200,380,46,usa
amc hornet,18,6,232,100,2945,16,73,44,13,364,50,182,344,46,usa
ford maverick,18,6,250,88,3021,16.5,73,44,13,400,38,200,380,46,usa
plymouth duster,23,6,198,95,2904,16,73,54,13,296,45,148,276,46,usa
volkswagen super beetle,26,4,97,46,1950,21,73,60,7,94,-4,47,74,44,europe
chevrolet impala,11,8,400,150,4997,14,73,30,19,700,100,350,680,48,usa
ford country,12,8,400,167,4906,12.5,73,32,19,700,117,350,680,48,usa
plymouth custom suburb,13,8,360,170,4654,13,73,34,19,620,120,310,600,48,usa
oldsmobile vista cruiser,12,8,350,180,4499,12.5,73,32,19,600,130,300,580,48,usa
amc gremlin,18,6,232,100,2789,15,73,44,13,364,50,182,344,46,usa
toyota carina,20,4,97,88,2279,19,73,48,7,94,38,47,74,44,japan
chevrolet vega,21,4,140,72,2401,19.5,73,50,7,180,22,90,160,44,usa
datsun 610,22,4,108,94,2379,16.5,73,52,7,116,44,58,96,44,japan
maxda rx3,18,3,70,90,2124,13.5,73,44,4,40,40,20,20,43,japan
ford pinto,19,4,122,85,2310,18.5,73,46,7,144,35,72,124,44,usa
mercury capri v6,21,6,155,107,2472,14,73,50,13,210,57,105,190,46,usa
fiat 124 sport coupe,26,4,98,90,2265,15.5,73,60,7,96,40,48,76,44,europe
chevrolet monte carlo s,15,8,350,145,4082,13,73,38,19,600,95,300,580,48,usa
pontiac grand prix,16,8,400,230,4278,9.5,73,40,19,700,180,350,680,48,usa
fiat 128,29,4,68,49,1867,19.5,73,66,7,36,-1,18,16,44,europe
opel manta,24,4,116,75,2158,15.5,73,56,7,132,25,66,112,44,europe
audi 100ls,20,4,114,91,2582,14,73,48,7,128,41,64,108,44,europe
volvo 144ea,19,4,121,112,2868,15.5,73,46,7,142,62,71,122,44,europe
dodge dart custom,15,8,318,150,3399,11,73,38,19,536,100,268,516,48,usa
saab 99le,24,4,121,110,2660,14,73,56,7,142,60,71,122,44,europe
toyota mark ii,20,6,156,122,2807,13.5,73,48,13,212,72,106,192,46,japan
oldsmobile omega,11,8,350,180,3664,11,73,30,19,600,130,300,580,48,usa
plymouth duster,20,6,198,95,3102,16.5,74,48,13,296,45,148,276,46,usa
ford maverick,21,6,200,,2875,17,74,50,13,300,-50,150,280,46,usa
amc hornet,19,6,232,100,2901,16,74,46,13,364,50,182,344,46,usa
chevrolet nova,15,6,250,100,3336,17,74,38,13,400,50,200,380,46,usa
datsun b210,31,4,79,67,1950,19,74,70,7,58,17,29,38,44,japan
ford pinto,26,4,122,80,2451,16.5,74,60,7,144,30,72,124,44,usa
toyota corolla 1200,32,4,71,65,1836,21,74,72,7,42,15,21,22,44,japan
chevrolet vega,25,4,140,75,2542,17,74,58,7,180,25,90,160,44,usa
chevrolet chevelle malibu classic,16,6,250,100,3781,17,74,40,13,400,50,200,380,46,usa
amc matador,16,6,258,110,3632,18,74,40,13,416,60,208,396,46,usa
plymouth satellite sebring,18,6,225,105,3613,16.5,74,44,13,350,55,175,330,46,usa
ford gran torino,16,8,302,140,4141,14,74,40,19,504,90,252,484,48,usa
buick century luxus (sw),13,8,350,150,4699,14.5,74,34,19,600,100,300,580,48,usa
dodge coronet custom (sw),14,8,318,150,4457,13.5,74,36,19,536,100,268,516,48,usa
ford gran torino (sw),14,8,302,140,4638,16,74,36,19,504,90,252,484,48,usa
amc matador (sw),14,8,304,150,4257,15.5,74,36,19,508,100,254,488,48,usa
audi fox,29,4,98,83,2219,16.5,74,66,7,96,33,48,76,44,europe
volkswagen dasher,26,4,79,67,1963,15.5,74,60,7,58,17,29,38,44,europe
opel manta,26,4,97,78,2300,14.5,74,60,7,94,28,47,74,44,europe
toyota corona,31,4,76,52,1649,16.5,74,70,7,52,2,26,32,44,japan
datsun 710,32,4,83,61,2003,19,74,72,7,66,11,33,46,44,japan
dodge colt,28,4,90,75,2125,14.5,74,64,7,80,25,40,60,44,usa
fiat 128,24,4,90,75,2108,15.5,74,56,7,80,25,40,60,44,europe
fiat 124 tc,26,4,116,75,2246,14,74,60,7,132,25,66,112,44,europe
honda civic,24,4,120,97,2489,15,74,56,7,140,47,70,120,44,japan
subaru,26,4,108,93,2391,15.5,74,60,7,116,43,58,96,44,japan
fiat x1.9,31,4,79,67,2000,16,74,70,7,58,17,29,38,44,europe
plymouth valiant custom,19,6,225,95,3264,16,75,46,13,350,45,175,330,46,usa
chevrolet nova,18,6,250,105,3459,16,75,44,13,400,55,200,380,46,usa
mercury monarch,15,6,250,72,3432,21,75,38,13,400,22,200,380,46,usa
ford maverick,15,6,250,72,3158,19.5,75,38,13,400,22,200,380,46,usa
pontiac catalina,16,8,400,170,4668,11.5,75,40,19,700,120,350,680,48,usa
chevrolet bel air,15,8,350,145,4440,14,75,38,19,600,95,300,580,48,usa
plymouth grand fury,16,8,318,150,4498,14.5,75,40,19,536,100,268,516,48,usa
ford ltd,14,8,351,148,4657,13.5,75,36,19,602,98,301,582,48,usa
buick century,17,6,231,110,3907,21,75,42,13,362,60,181,342,46,usa
chevroelt chevelle malibu,16,6,250,105,3897,18.5,75,40,13,400,55,200,380,46,usa
amc matador,15,6,258,110,3730,19,75,38,13,416,60,208,396,46,usa
plymouth fury,18,6,225,95,3785,19,75,44,13,350,45,175,330,46,usa
buick skyhawk,21,6,231,110,3039,15,75,50,13,362,60,181,342,46,usa
chevrolet monza 2+2,20,8,262,110,3221,13.5,75,48,19,424,60,212,404,48,usa
ford mustang ii,13,8,302,129,3169,12,75,34,19,504,79,252,484,48,usa
toyota corolla,29,4,97,75,2171,16,75,66,7,94,25,47,74,44,japan
ford pinto,23,4,140,83,2639,17,75,54,7,180,33,90,160,44,usa
amc gremlin,20,6,232,100,2914,16,75,48,13,364,50,182,344,46,usa
pontiac astro,23,4,140,78,2592,18.5,75,54,7,180,28,90,160,44,usa
toyota corona,24,4,134,96,2702,13.5,75,56,7,168,46,84,148,44,japan
volkswagen dasher,25,4,90,71,2223,16.5,75,58,7,80,21,40,60,44,europe
datsun 710,24,4,119,97,2545,17,75,56,7,138,47,69,118,44,japan
ford pinto,18,6,171,97,2984,14.5,75,44,13,242,47,121,222,46,usa
volkswagen rabbit,29,4,90,70,1937,14,75,66,7,80,20,40,60,44,europe
amc pacer,19,6,232,90,3211,17,75,46,13,364,40,182,344,46,usa
audi 100ls,23,4,115,95,2694,15,75,54,7,130,45,65,110,44,europe
peugeot 504,23,4,120,88,2957,17,75,54,7,140,38,70,120,44,europe
volvo 244dl,22,4,121,98,2945,14.5,75,52,7,142,48,71,122,44,europe
saab 99le,25,4,121,115,2671,13.5,75,58,7,142,65,71,122,44,europe
honda civic cvcc,33,4,91,53,1795,17.5,75,74,7,82,3,41,62,44,japan
fiat 131,28,4,107,86,2464,15.5,76,64,7,114,36,57,94,44,europe
opel 1900,25,4,116,81,2220,16.9,76,58,7,132,31,66,112,44,europe
capri ii,25,4,140,92,2572,14.9,76,58,7,180,42,90,160,44,usa
dodge colt,26,4,98,79,2255,17.7,76,60,7,96,29,48,76,44,usa
renault 12tl,27,4,101,83,2202,15.3,76,62,7,102,33,51,82,44,europe
chevrolet chevelle malibu classic,17.5,8,305,140,4215,13,76,43,19,510,90,255,490,48,usa
dodge coronet brougham,16,8,318,150,4190,13,76,40,19,536,100,268,516,48,usa
amc matador,15.5,8,304,120,3962,13.9,76,39,19,508,70,254,488,48,usa
ford gran torino,14.5,8,351,152,4215,12.8,76,37,19,602,102,301,582,48,usa
plymouth valiant,22,6,225,100,3233,15.4,76,52,13,350,50,175,330,46,usa
chevrolet nova,22,6,250,105,3353,14.5,76,52,13,400,55,200,380,46,usa
ford maverick,24,6,200,81,3012,17.6,76,56,13,300,31,150,280,46,usa
amc hornet,22.5,6,232,90,3085,17.6,76,53,13,364,40,182,344,46,usa
chevrolet chevette,29,4,85,52,2035,22.2,76,66,7,70,2,35,50,44,usa
chevrolet woody,24.5,4,98,60,2164,22.1,76,57,7,96,10,48,76,44,usa
vw rabbit,29,4,90,70,1937,14.2,76,66,7,80,20,40,60,44,europe
honda civic,33,4,91,53,1795,17.4,76,74,7,82,3,41,62,44,japan
dodge aspen se,20,6,225,100,3651,17.7,76,48,13,350,50,175,330,46,usa
ford granada ghia,18,6,250,78,3574,21,76,44,13,400,28,200,380,46,usa
pontiac ventura sj,18.5,6,250,110,3645,16.2,76,45,13,400,60,200,380,46,usa
amc pacer d/l,17.5,6,258,95,3193,17.8,76,43,13,416,45,208,396,46,usa
volkswagen rabbit,29.5,4,97,71,1825,12.2,76,67,7,94,21,47,74,44,europe
datsun b-210,32,4,85,70,1990,17,76,72,7,70,20,35,50,44,japan
toyota corolla,28,4,97,75,2155,16.4,76,64,7,94,25,47,74,44,japan
ford pinto,26.5,4,140,72,2565,13.6,76,61,7,180,22,90,160,44,usa
volvo 245,20,4,130,102,3150,15.7,76,48,7,160,52,80,140,44,europe
plymouth volare premier v8,13,8,318,150,3940,13.2,76,34,19,536,100,268,516,48,usa
peugeot 504,19,4,120,88,3270,21.9,76,46,7,140,38,70,120,44,europe
toyota mark ii,19,6,156,108,2930,15.5,76,46,13,212,58,106,192,46,japan
mercedes-benz 280s,16.5,6,168,120,3820,16.7,76,41,13,236,70,118,216,46,europe
cadillac seville,16.5,8,350,180,4380,12.1,76,41,19,600,130,300,580,48,usa
chevy c10,13,8,350,145,4055,12,76,34,19,600,95,300,580,48,usa
ford f108,13,8,302,130,3870,15,76,34,19,504,80,252,484,48,usa
dodge d100,13,8,318,150,3755,14,76,34,19,536,100,268,516,48,usa
honda accord cvcc,31.5,4,98,68,2045,18.5,77,71,7,96,18,48,76,44,japan
buick opel isuzu deluxe,30,4,111,80,2155,14.8,77,68,7,122,30,61,102,44,usa
renault 5 gtl,36,4,79,58,1825,18.6,77,80,7,58,8,29,38,44,europe
plymouth arrow gs,25.5,4,122,96,2300,15.5,77,59,7,144,46,72,124,44,usa
datsun f-10 hatchback,33.5,4,85,70,1945,16.8,77,75,7,70,20,35,50,44,japan
chevrolet caprice classic,17.5,8,305,145,3880,12.5,77,43,19,510,95,255,490,48,usa
oldsmobile cutlass supreme,17,8,260,110,4060,19,77,42,19,420,60,210,400,48,usa
dodge monaco brougham,15.5,8,318,145,4140,13.7,77,39,19,536,95,268,516,48,usa
mercury cougar brougham,15,8,302,130,4295,14.9,77,38,19,504,80,252,484,48,usa
chevrolet concours,17.5,6,250,110,3520,16.4,77,43,13,400,60,200,380,46,usa
buick skylark,20.5,6,231,105,3425,16.9,77,49,13,362,55,181,342,46,usa
plymouth volare custom,19,6,225,100,3630,17.7,77,46,13,350,50,175,330,46,usa
ford granada,18.5,6,250,98,3525,19,77,45,13,400,48,200,380,46,usa
pontiac grand prix lj,16,8,400,180,4220,11.1,77,40,19,700,130,350,680,48,usa
chevrolet monte carlo landau,15.5,8,350,170,4165,11.4,77,39,19,600,120,300,580,48,usa
chrysler cordoba,15.5,8,400,190,4325,12.2,77,39,19,700,140,350,680,48,usa
ford thunderbird,16,8,351,149,4335,14.5,77,40,19,602,99,301,582,48,usa
volkswagen rabbit custom,29,4,97,78,1940,14.5,77,66,7,94,28,47,74,44,europe
pontiac sunbird coupe,24.5,4,151,88,2740,16,77,57,7,202,38,101,182,44,usa
toyota corolla liftback,26,4,97,75,2265,18.2,77,60,7,94,25,47,74,44,japan
ford mustang ii 2+2,25.5,4,140,89,2755,15.8,77,59,7,180,39,90,160,44,usa
chevrolet chevette,30.5,4,98,63,2051,17,77,69,7,96,13,48,76,44,usa
dodge colt m/m,33.5,4,98,83,2075,15.9,77,75,7,96,33,48,76,44,usa
subaru dl,30,4,97,67,1985,16.4,77,68,7,94,17,47,74,44,japan
volkswagen dasher,30.5,4,97,78,2190,14.1,77,69,7,94,28,47,74,44,europe
datsun 810,22,6,146,97,2815,14.5,77,52,13,192,47,96,172,46,japan
bmw 320i,21.5,4,121,110,2600,12.8,77,51,7,142,60,71,122,44,europe
mazda rx-4,21.5,3,80,110,2720,13.5,77,51,4,60,60,30,40,43,japan
volkswagen rabbit custom diesel,43.1,4,90,48,1985,21.5,78,94.2,7,80,-2,40,60,44,europe
ford fiesta,36.1,4,98,66,1800,14.4,78,80.2,7,96,16,48,76,44,usa
mazda glc deluxe,32.8,4,78,52,1985,19.4,78,73.6,7,56,2,28,36,44,japan
datsun b210 gx,39.4,4,85,70,2070,18.6,78,86.8,7,70,20,35,50,44,japan
honda civic cvcc,36.1,4,91,60,1800,16.4,78,80.2,7,82,10,41,62,44,japan
oldsmobile cutlass salon brougham,19.9,8,260,110,3365,15.5,78,47.8,19,420,60,210,400,48,usa
dodge diplomat,19.4,8,318,140,3735,13.2,78,46.8,19,536,90,268,516,48,usa
mercury monarch ghia,20.2,8,302,139,3570,12.8,78,48.4,19,504,89,252,484,48,usa
pontiac phoenix lj,19.2,6,231,105,3535,19.2,78,46.4,13,362,55,181,342,46,usa
chevrolet malibu,20.5,6,200,95,3155,18.2,78,49,13,300,45,150,280,46,usa
ford fairmont (auto),20.2,6,200,85,2965,15.8,78,48.4,13,300,35,150,280,46,usa
ford fairmont (man),25.1,4,140,88,2720,15.4,78,58.2,7,180,38,90,160,44,usa
plymouth volare,20.5,6,225,100,3430,17.2,78,49,13,350,50,175,330,46,usa
amc concord,19.4,6,232,90,3210,17.2,78,46.8,13,364,40,182,344,46,usa
buick century special,20.6,6,231,105,3380,15.8,78,49.2,13,362,55,181,342,46,usa
mercury zephyr,20.8,6,200,85,3070,16.7,78,49.6,13,300,35,150,280,46,usa
dodge aspen,18.6,6,225,110,3620,18.7,78,45.2,13,350,60,175,330,46,usa
amc concord d/l,18.1,6,258,120,3410,15.1,78,44.2,13,416,70,208,396,46,usa
chevrolet monte carlo landau,19.2,8,305,145,3425,13.2,78,46.4,19,510,95,255,490,48,usa
buick regal sport coupe (turbo),17.7,6,231,165,3445,13.4,78,43.4,13,362,115,181,342,46,usa
ford futura,18.1,8,302,139,3205,11.2,78,44.2,19,504,89,252,484,48,usa
dodge magnum xe,17.5,8,318,140,4080,13.7,78,43,19,536,90,268,516,48,usa
chevrolet chevette,30,4,98,68,2155,16.5,78,68,7,96,18,48,76,44,usa
toyota corona,27.5,4,134,95,2560,14.2,78,63,7,168,45,84,148,44,japan
datsun 510,27.2,4,119,97,2300,14.7,78,62.4,7,138,47,69,118,44,japan
dodge omni,30.9,4,105,75,2230,14.5,78,69.8,7,110,25,55,90,44,usa
toyota celica gt liftback,21.1,4,134,95,2515,14.8,78,50.2,7,168,45,84,148,44,japan
plymouth sapporo,23.2,4,156,105,2745,16.7,78,54.4,7,212,55,106,192,44,usa
oldsmobile starfire sx,23.8,4,151,85,2855,17.6,78,55.6,7,202,35,101,182,44,usa
datsun 200-sx,23.9,4,119,97,2405,14.9,78,55.8,7,138,47,69,118,44,japan
audi 5000,20.3,5,131,103,2830,15.9,78,48.6,10,162,53,81,142,45,europe
volvo 264gl,17,6,163,125,3140,13.6,78,42,13,226,75,113,206,46,europe
saab 99gle,21.6,4,121,115,2795,15.7,78,51.2,7,142,65,71,122,44,europe
peugeot 604sl,16.2,6,163,133,3410,15.8,78,40.4,13,226,83,113,206,46,europe
volkswagen scirocco,31.5,4,89,71,1990,14.9,78,71,7,78,21,39,58,44,europe
honda accord lx,29.5,4,98,68,2135,16.6,78,67,7,96,18,48,76,44,japan
pontiac lemans v6,21.5,6,231,115,3245,15.4,79,51,13,362,65,181,342,46,usa
mercury zephyr 6,19.8,6,200,85,2990,18.2,79,47.6,13,300,35,150,280,46,usa
ford fairmont 4,22.3,4,140,88,2890,17.3,79,52.6,7,180,38,90,160,44,usa
amc concord dl 6,20.2,6,232,90,3265,18.2,79,48.4,13,364,40,182,344,46,usa
dodge aspen 6,20.6,6,225,110,3360,16.6,79,49.2,13,350,60,175,330,46,usa
chevrolet caprice classic,17,8,305,130,3840,15.4,79,42,19,510,80,255,490,48,usa
ford ltd landau,17.6,8,302,129,3725,13.4,79,43.2,19,504,79,252,484,48,usa
mercury grand marquis,16.5,8,351,138,3955,13.2,79,41,19,602,88,301,582,48,usa
dodge st. regis,18.2,8,318,135,3830,15.2,79,44.4,19,536,85,268,516,48,usa
buick estate wagon (sw),16.9,8,350,155,4360,14.9,79,41.8,19,600,105,300,580,48,usa
ford country squire (sw),15.5,8,351,142,4054,14.3,79,39,19,602,92,301,582,48,usa
chevrolet malibu classic (sw),19.2,8,267,125,3605,15,79,46.4,19,434,75,217,414,48,usa
chrysler lebaron town @ country (sw),18.5,8,360,150,3940,13,79,45,19,620,100,310,600,48,usa
vw rabbit custom,31.9,4,89,71,1925,14,79,71.8,7,78,21,39,58,44,europe
maxda glc deluxe,34.1,4,86,65,1975,15.2,79,76.2,7,72,15,36,52,44,japan
dodge colt hatchback custom,35.7,4,98,80,1915,14.4,79,79.4,7,96,30,48,76,44,usa
amc spirit dl,27.4,4,121,80,2670,15,79,62.8,7,142,30,71,122,44,usa
mercedes benz 300d,25.4,5,183,77,3530,20.1,79,58.8,10,266,27,133,246,45,europe
cadillac eldorado,23,8,350,125,3900,17.4,79,54,19,600,75,300,580,48,usa
peugeot 504,27.2,4,141,71,3190,24.8,79,62.4,7,182,21,91,162,44,europe
oldsmobile cutlass salon brougham,23.9,8,260,90,3420,22.2,79,55.8,19,420,40,210,400,48,usa
plymouth horizon,34.2,4,105,70,2200,13.2,79,76.4,7,110,20,55,90,44,usa
plymouth horizon tc3,34.5,4,105,70,2150,14.9,79,77,7,110,20,55,90,44,usa
datsun 210,31.8,4,85,65,2020,19.2,79,71.6,7,70,15,35,50,44,japan
fiat strada custom,37.3,4,91,69,2130,14.7,79,82.6,7,82,19,41,62,44,europe
buick skylark limited,28.4,4,151,90,2670,16,79,64.8,7,202,40,101,182,44,usa
chevrolet citation,28.8,6,173,115,2595,11.3,79,65.6,13,246,65,123,226,46,usa
oldsmobile omega brougham,26.8,6,173,115,2700,12.9,79,61.6,13,246,65,123,226,46,usa
pontiac phoenix,33.5,4,151,90,2556,13.2,79,75,7,202,40,101,182,44,usa
vw rabbit,41.5,4,98,76,2144,14.7,80,91,7,96,26,48,76,44,europe
toyota corolla tercel,38.1,4,89,60,1968,18.8,80,84.2,7,78,10,39,58,44,japan
chevrolet chevette,32.1,4,98,70,2120,15.5,80,72.2,7,96,20,48,76,44,usa
datsun 310,37.2,4,86,65,2019,16.4,80,82.4,7,72,15,36,52,44,japan
chevrolet citation,28,4,151,90,2678,16.5,80,64,7,202,40,101,182,44,usa
ford fairmont,26.4,4,140,88,2870,18.1,80,60.8,7,180,38,90,160,44,usa
amc concord,24.3,4,151,90,3003,20.1,80,56.6,7,202,40,101,182,44,usa
dodge aspen,19.1,6,225,90,3381,18.7,80,46.2,13,350,40,175,330,46,usa
audi 4000,34.3,4,97,78,2188,15.8,80,76.6,7,94,28,47,74,44,europe
toyota corona liftback,29.8,4,134,90,2711,15.5,80,67.6,7,168,40,84,148,44,japan
mazda 626,31.3,4,120,75,2542,17.5,80,70.6,7,140,25,70,120,44,japan
datsun 510 hatchback,37,4,119,92,2434,15,80,82,7,138,42,69,118,44,japan
toyota corolla,32.2,4,108,75,2265,15.2,80,72.4,7,116,25,58,96,44,japan
